Fecha,Partner,Pais,Inversion,Registros,primeros_Depositos
2025-10-06,Doradobet,El Salvador,7.7,,
2025-10-06,Doradobet,Guatemala,10.468,,
2025-10-06,Doradobet,Honduras,1.24,,
2025-10-06,Doradobet,Nicaragua,3.6430000000000002,,
2025-10-06,Ecuabet,Ecuador,3.205,,
2025-10-06,Paniplay,Honduras,13.189,,
2025-10-07,Aciertala,Perú,3.48,,
2025-10-07,Camanbet,Venezuela,16.719,,
2025-10-07,Doradobet,Chile,3.153,,
2025-10-07,Doradobet,Costa Rica,10.826,,
2025-10-07,Doradobet,Ecuador,2.052,,
2025-10-07,Doradobet,El Salvador,1.041,,
2025-10-07,Doradobet,Guatemala,11.044,,
2025-10-07,Doradobet,Honduras,1.245,,
2025-10-07,Doradobet,Nicaragua,3.455,,
2025-10-07,Ecuabet,Ecuador,15.692,,
2025-10-07,Paniplay,Honduras,9.515,,
2025-10-08,Aciertala,Perú,4.3549999999999995,,
2025-10-08,Camanbet,Venezuela,16.862,,
2025-10-08,Doradobet,Chile,3.001,,
2025-10-08,Doradobet,Costa Rica,11.042,,
2025-10-08,Doradobet,Ecuador,3.682,,
2025-10-08,Doradobet,El Salvador,67.56200000000001,,
2025-10-08,Doradobet,Guatemala,10.506,,
2025-10-08,Doradobet,Honduras,0.862,,
2025-10-08,Doradobet,Nicaragua,2.665,,
2025-10-08,Ecuabet,Ecuador,11.289,,
2025-10-08,Paniplay,Honduras,8.0,,
2025-10-09,Aciertala,Perú,2.838,,
2025-10-09,Camanbet,Venezuela,16.057,,
2025-10-09,Doradobet,Chile,0.508,,
2025-10-09,Doradobet,Costa Rica,11.573,,
2025-10-09,Doradobet,Ecuador,0.43600000000000005,,
2025-10-09,Doradobet,El Salvador,22.523,,
2025-10-09,Doradobet,Guatemala,11.955,,
2025-10-09,Doradobet,Honduras,1.799,,
2025-10-09,Doradobet,Nicaragua,2.716,,
2025-10-09,Ecuabet,Ecuador,41.42,,
2025-10-09,Paniplay,Honduras,8.161999999999999,,
2025-10-10,Aciertala,Perú,3.0100000000000002,,
2025-10-10,Camanbet,Venezuela,26.089,,
2025-10-10,Doradobet,Chile,1.6680000000000001,,
2025-10-10,Doradobet,Costa Rica,18.885,,
2025-10-10,Doradobet,Ecuador,11.065000000000001,,
2025-10-10,Doradobet,El Salvador,24.93,,
2025-10-10,Doradobet,Guatemala,10.779,,
2025-10-10,Doradobet,Honduras,2.176,,
2025-10-10,Doradobet,Nicaragua,1.274,,
2025-10-10,Ecuabet,Ecuador,22.179,,
2025-10-10,Paniplay,Honduras,6.049,,
2025-10-11,Aciertala,Perú,2.94,,
2025-10-11,Camanbet,Venezuela,19.003,,
2025-10-11,Doradobet,Chile,3.1750000000000003,,
2025-10-11,Doradobet,Costa Rica,11.780999999999999,,
2025-10-11,Doradobet,Ecuador,4.401,,
2025-10-11,Doradobet,El Salvador,14.263,,
2025-10-11,Doradobet,Guatemala,6.7170000000000005,,
2025-10-11,Doradobet,Honduras,2.138,,
2025-10-11,Doradobet,Nicaragua,0.553,,
2025-10-11,Ecuabet,Ecuador,10.375,,
2025-10-11,Paniplay,Honduras,6.311,,
2025-10-12,Aciertala,Perú,2.984,,
2025-10-12,Camanbet,Venezuela,16.576,,
2025-10-12,Doradobet,Chile,3.384,,
2025-10-12,Doradobet,Costa Rica,11.841000000000001,,
2025-10-12,Doradobet,Ecuador,4.239,,
2025-10-12,Doradobet,El Salvador,14.635,,
2025-10-12,Doradobet,Guatemala,6.064,,
2025-10-12,Doradobet,Honduras,2.179,,
2025-10-12,Doradobet,Nicaragua,0.507,,
2025-10-12,Ecuabet,Ecuador,9.802,,
2025-10-12,Paniplay,Honduras,6.613,,
2025-10-13,Aciertala,Perú,2.895,,
2025-10-13,Camanbet,Venezuela,16.345,,
2025-10-13,Doradobet,Chile,4.225,,
2025-10-13,Doradobet,Costa Rica,10.814,,
2025-10-13,Doradobet,Ecuador,2.739,,
2025-10-13,Doradobet,El Salvador,14.283,,
2025-10-13,Doradobet,Guatemala,4.751,,
2025-10-13,Doradobet,Honduras,2.936,,
2025-10-13,Doradobet,Nicaragua,0.325,,
2025-10-13,Ecuabet,Ecuador,6.3759999999999994,,
2025-10-13,Paniplay,Honduras,2.585,,
2025-10-14,Aciertala,Perú,3.108,,
2025-10-14,Camanbet,Venezuela,16.046,,
2025-10-14,Doradobet,Chile,3.574,,
2025-10-14,Doradobet,Costa Rica,8.283,,
2025-10-14,Doradobet,Ecuador,4.566,,
2025-10-14,Doradobet,El Salvador,14.327,,
2025-10-14,Doradobet,Guatemala,5.720000000000001,,
2025-10-14,Doradobet,Honduras,1.3699999999999999,,
2025-10-14,Doradobet,Nicaragua,6.702,,
2025-10-14,Ecuabet,Ecuador,6.609,,
2025-10-14,Paniplay,Honduras,7.565,,
2025-10-01,Doradobet,Costa Rica,35.65,,
2025-10-02,Doradobet,Costa Rica,35.72,,
2025-10-03,Doradobet,Costa Rica,34.48,,
2025-10-04,Doradobet,Costa Rica,35.42,,
2025-10-05,Doradobet,Costa Rica,36.32,,
2025-10-06,Doradobet,Costa Rica,35.87,,
2025-10-07,Doradobet,Costa Rica,35.11,,
2025-10-08,Doradobet,Costa Rica,30.91,,
2025-10-09,Doradobet,Costa Rica,34.94,,
2025-10-10,Doradobet,Costa Rica,35.39,,
2025-10-11,Doradobet,Costa Rica,32.4,,
2025-10-12,Doradobet,Costa Rica,34.28,,
2025-10-13,Doradobet,Costa Rica,35.09,,
2025-10-14,Doradobet,Costa Rica,35.28,,
25-10-03,Ecuabet,Ecuador,6.2,,
25-10-04,Ecuabet,Ecuador,8.33,,
25-10-05,Ecuabet,Ecuador,9.19,,
25-10-06,Ecuabet,Ecuador,9.24,,
25-10-07,Ecuabet,Ecuador,8.93,,
25-10-08,Ecuabet,Ecuador,8.97,,
25-10-09,Ecuabet,Ecuador,9.07,,
25-10-10,Ecuabet,Ecuador,8.51,,
25-10-11,Ecuabet,Ecuador,9.29,,
25-10-12,Ecuabet,Ecuador,9.11,,
25-10-13,Ecuabet,Ecuador,9.06,,
25-10-14,Ecuabet,Ecuador,9.16,,
