date      , country, conversions, spending            , campaignid, clicks, impressions, campaignname
2025-10-09, SV     ,           0,  0.0                ,  449842020,      0,        9633, ES_Doradobet_Popunder_Deportivas_CPA
2025-10-10, CR     ,           0,  0.0                ,  458606220,      0,        2862, CR_Doradobet_PopUnder_Regalo_por_registro_Mobil
2025-10-10, CR     ,           1,  1.0                ,  458971620,      0,        4300, CR_Doradobet_PopUnder_Regalo_por_registro_Desk
2025-10-10, CR     ,           3, 11.944382000000003  ,  458990820,      0,       21791, CR_Doradobet_PopUnder_Regalo_por_registro_CPAT
2025-10-10, EC     ,           0,  4.794013999999999  ,  437525820,      0,       15376, EC_Ecuabet_DeportivasMixtas_Mob_CPAT
2025-10-10, EC     ,           0,  2.504238           ,  444589020,      0,        8268, EC_Ecuabet_Popunder_Casino_Desk_CPAT
2025-10-10, EC     ,           0, 14.301017999999997  ,  444589620,      0,       29608, EC_Ecuabet_Popunder_Casino_Mob_CPAT
2025-10-10, EC     ,           0,  2.7383819999999996 ,  444590820,      0,       11369, EC_Ecuabet_DeportivasMixtas_Desk_CPAT
2025-10-10, EC     ,           0,  0.922077           ,  444595020,      0,        5476, DB_Ecuado_Popunder_Crash_Game_Desk_CPA
2025-10-10, EC     ,           0,  0.0                ,  449832420,      0,       13049, EC_Doradobet_Popunder_lLiga_Pro_Mobile_CPA
2025-10-10, EC     ,           0,  0.0                ,  449833020,      0,        9387, EC_Doradobet_Popunder_Crash_Game_Mobile_CPA
2025-10-10, EC     ,           0,  0.0                ,  449834820,      0,       17502, EC_Doradobet_Popunder_Sorteo_Carro_Mobile_CPA
2025-10-10, NI     ,           0,  1.97303            ,  437521620,      0,        9593, NI_Doradobet_Poker_Ruleta_MOBIEL_CPAT
2025-10-10, NI     ,           0,  2.397463           ,  437522820,      0,        8398, NI_Doradobet_Reglo_Registro_MOBIEL_CPA
2025-10-10, NI     ,           0,  0.10062399999999999,  437523420,      0,         996, NI_Doradobet_Reglo_Registro_DESK_CPA
